Severity,blur,noise,darkness
0,0.5356186696394974,0.5356186696394974,0.5356186696394974
1,0.5357193697713294,0.4606895860145611,0.5547783083133259
2,0.5047984693133338,0.29947534027754585,0.5673542495960537
3,0.49266875032353225,0.1844018655097653,0.5589771016998241
4,0.4773844183622754,0.07395448688155017,0.5030411666700351
5,0.4019183654620288,0.01536083388530599,0.395663321391967
