slide,set,class_id,class,expert_pct,model_pct
1008,external,0,Pine,23.090586145648313,28.688524590163933
1008,external,1,Artemisia,1.5985790408525755,0.0
1008,external,2,Poaceae,9.236234458259325,1.639344262295082
1008,external,3,Betula pendula,7.815275310834814,5.737704918032787
1008,external,4,Chenopodiaceae,1.2433392539964476,1.639344262295082
1008,external,5,Picea,24.156305506216697,41.80327868852459
1008,external,6,Alnus viridis,0.5328596802841918,0.0
1008,external,7,Rumex,0.5328596802841918,0.819672131147541
1008,external,8,Ulmus,13.49911190053286,8.19672131147541
1008,external,9,Asteraceae,0.8880994671403197,0.0
1008,external,10,Cyperaceae,1.0657193605683837,0.819672131147541
1008,external,11,Apiaceae,1.4209591474245116,0.819672131147541
1008,external,12,Fagus,0.0,0.819672131147541
1008,external,13,Salix,0.17761989342806395,0.819672131147541
1008,external,14,Other_pollen,14.742451154529308,8.19672131147541
1016,external,0,Pine,21.24137931034483,14.772727272727273
1016,external,1,Artemisia,4.275862068965517,4.545454545454546
1016,external,2,Poaceae,12.551724137931034,7.954545454545454
1016,external,3,Betula pendula,16.0,20.454545454545453
1016,external,4,Chenopodiaceae,2.3448275862068964,6.818181818181818
1016,external,5,Picea,3.4482758620689653,3.409090909090909
1016,external,6,Alnus viridis,1.793103448275862,15.909090909090908
1016,external,7,Rumex,2.0689655172413794,3.409090909090909
1016,external,8,Ulmus,12.413793103448276,5.681818181818182
1016,external,9,Asteraceae,1.2413793103448276,3.409090909090909
1016,external,10,Cyperaceae,0.6896551724137931,0.0
1016,external,11,Apiaceae,1.793103448275862,1.1363636363636365
1016,external,12,Fagus,0.0,3.409090909090909
1016,external,13,Salix,0.27586206896551724,1.1363636363636365
1016,external,14,Other_pollen,19.862068965517242,7.954545454545454
1020,external,0,Pine,42.79346210995542,42.34135667396061
1020,external,1,Artemisia,3.2689450222882614,6.12691466083151
1020,external,2,Poaceae,10.549777117384844,6.564551422319475
1020,external,3,Betula pendula,12.184249628528974,15.426695842450766
1020,external,4,Chenopodiaceae,2.526002971768202,3.1728665207877462
1020,external,5,Picea,4.011887072808321,3.2822757111597376
1020,external,6,Alnus viridis,0.5943536404160475,5.361050328227571
1020,external,7,Rumex,2.37741456166419,0.3282275711159737
1020,external,8,Ulmus,3.863298662704309,3.938730853391685
1020,external,9,Asteraceae,1.7830609212481427,1.5317286652078774
1020,external,10,Cyperaceae,1.9316493313521546,2.297592997811816
1020,external,11,Apiaceae,0.4457652303120357,0.6564551422319475
1020,external,12,Fagus,0.0,1.5317286652078774
1020,external,13,Salix,0.1485884101040119,0.0
1020,external,14,Other_pollen,13.521545319465082,7.439824945295404
1188,test,0,Pine,17.46794871794872,22.60397830018083
1188,test,1,Artemisia,40.38461538461539,41.22965641952984
1188,test,2,Poaceae,19.55128205128205,1.8083182640144666
1188,test,3,Betula pendula,2.2435897435897436,0.9041591320072333
1188,test,4,Chenopodiaceae,5.769230769230769,4.3399638336347195
1188,test,5,Picea,0.0,0.0
1188,test,6,Alnus viridis,0.16025641025641027,0.3616636528028933
1188,test,7,Rumex,0.6410256410256411,0.7233273056057866
1188,test,8,Ulmus,0.16025641025641027,9.041591320072333
1188,test,9,Asteraceae,1.4423076923076923,0.7233273056057866
1188,test,10,Cyperaceae,2.4038461538461537,1.4466546112115732
1188,test,11,Apiaceae,0.4807692307692308,0.7233273056057866
1188,test,12,Fagus,0.0,0.9041591320072333
1188,test,13,Salix,0.4807692307692308,3.4358047016274864
1188,test,14,Other_pollen,8.814102564102564,11.754068716094032
